state,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,mystate
Alabama,US,7/25/20 4:47,32.3182,-86.9023,76005,1438,32510,42057,1,1550.114874,628984,9157,1.891980791,84000001,USA,12828.06992,12.04789159,0
Alaska,US,7/25/20 4:47,61.3707,-152.4044,2249,19,800,1430,2,307.4315319,200572,,0.84481992,84000002,USA,27417.5888,,0
American Samoa,US,7/25/20 4:47,-14.271,-170.132,0,0,,0,60,0,1037,,,16,ASM,1863.733578,,0
Arizona,US,7/25/20 4:47,33.7298,-111.4312,156301,3143,20171,132987,4,2147.370203,836817,7461,2.010863654,84000004,USA,11496.76516,4.773481935,0
Arkansas,US,7/25/20 4:47,34.9697,-92.3731,37249,394,29827,7028,5,1234.308126,461464,2361,1.057746517,84000005,USA,15291.38407,6.338425193,0
California,US,7/25/20 4:47,36.1162,-119.6816,440185,8337,,431848,6,1114.047671,6915876,,1.893976396,84000006,USA,17503.13061,,0
Colorado,US,7/25/20 4:47,39.0598,-105.3111,42962,1790,5122,36050,8,746.0317681,470877,6149,4.166472697,84000008,USA,8176.742257,14.31264839,0
Connecticut,US,7/25/20 4:47,41.5978,-72.7554,48776,4413,8516,35847,9,1368.080606,713072,10712,9.047482368,84000009,USA,20000.4095,21.96162047,0
Delaware,US,7/25/20 4:47,39.3185,-75.5071,14202,578,7936,5688,10,1458.464269,164326,,4.069849317,84000010,USA,16875.34146,,0
Diamond Princess,US,7/25/20 4:47,,,49,0,,49,88888,,,,0,84088888,USA,,,0
District of Columbia,US,7/25/20 4:47,38.8974,-77.0268,11649,581,9582,1486,11,1650.586823,165260,,4.98755258,84000011,USA,23416.25705,,0
Florida,US,7/25/20 4:47,27.7663,-81.6868,402312,5653,,396659,12,1873.158238,3276636,23575,1.405128358,84000012,USA,15255.96482,5.859879894,0
Georgia,US,7/25/20 4:47,33.0406,-83.6431,161420,3443,,157977,13,1520.331252,1382444,16752,2.132945112,84000013,USA,13020.52296,10.37789617,0
Grand Princess,US,7/25/20 4:47,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,,0
Guam,US,7/25/20 4:47,13.4443,144.7937,337,5,244,88,66,205.2012738,19469,,1.483679525,316,GUM,11854.78813,,0
