LOCATION_ID,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME,pos_rate,death_03da,death_05da,death_07da,death_15da,death_21da,test_03da,test_05da,test_07da,test_15da,test_21da,case_03da,case_05da,case_07da,case_15da,case_21da,pos_rate_03da,pos_rate_05da,pos_rate_07da,pos_rate_15da,pos_rate_21da
18001,2020-03-03,0,0,0,Adams,NaN,0,0,0,NA,NA,0,0.2,0.1,NA,NA,0,0,0,NA,NA,NaN,NaN,NaN,NA,NA
18001,2020-03-04,0,0,0,Adams,NaN,0,0,0,NA,NA,0.3,0.2,0.1,NA,NA,0,0,0,NA,NA,NaN,NaN,NaN,NA,NA
18001,2020-03-05,0,0,1,Adams,0,0,0,0,NA,NA,0.3,0.2,0.1,NA,NA,0,0,0,NA,NA,NaN,NaN,NaN,NA,NA
18001,2020-03-06,0,0,0,Adams,NaN,0,0,0,0,NA,0.3,0.2,0.7,0.5,NA,0,0,0.1,0.1,NA,NaN,NaN,NaN,NaN,NA
18001,2020-03-07,0,0,0,Adams,NaN,0,0,0,0,NA,0,1,0.9,0.5,NA,0,0.2,0.1,0.1,NA,NaN,NaN,NaN,NaN,NA
18001,2020-03-08,0,0,0,Adams,NaN,0,0,0,0,NA,1.3,1,1,0.5,NA,0.3,0.2,0.1,0.1,NA,NaN,NaN,NaN,NaN,NA
18001,2020-03-09,1,0,4,Adams,0.25,0,0,0,0,0,1.7,1.2,1,0.7,0.7,0.3,0.2,0.1,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-10,0,0,1,Adams,0,0,0,0,0,0,2,1.4,1,0.7,0.7,0.3,0.2,0.1,0.1,0,0.1,NaN,NaN,NaN,NaN
18001,2020-03-11,0,0,1,Adams,0,0,0,0,0,0,1,1.4,1,0.9,0.9,0,0.2,0.1,0.1,0,0,NaN,NaN,NaN,NaN
18001,2020-03-12,0,0,1,Adams,0,0,0,0,0,0,0.7,0.6,1,1,1,0,0,0.1,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-13,0,0,0,Adams,NaN,0,0,0,0,0,0.3,0.4,0.7,0.9,1,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-14,0,0,0,Adams,NaN,0,0,0,0,0,0,0.6,0.6,1.2,1.1,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-15,0,0,0,Adams,NaN,0,0,0,0,0,0.7,0.4,0.9,1.3,1.2,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-16,0,0,2,Adams,0,0,0,0,0,0,0.7,1,1,1.4,1.4,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-17,0,0,0,Adams,NaN,0,0,0,0,0,1.7,1.4,1,1.2,1.6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-18,0,0,3,Adams,0,0,0,0,0,0,1.7,1.4,1.6,1.3,1.6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-19,0,0,2,Adams,0,0,0,0,0,0,1.7,1.8,1.9,1.5,1.6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-20,0,0,0,Adams,NaN,0,0,0,0,0,2,2.2,1.7,1.7,1.5,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-21,0,0,4,Adams,0,0,0,0,0,0,2,1.8,1.9,1.7,1.5,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-22,0,0,2,Adams,0,0,0,0,0,0,2.3,1.6,1.7,1.8,1.8,0,0,0,0,0,0,NaN,NaN,NaN,NaN
18001,2020-03-23,0,0,1,Adams,0,0,0,0,0,0,1.3,2,2.1,1.9,1.8,0,0,0,0,0,0,0,NaN,NaN,NaN
18001,2020-03-24,0,0,1,Adams,0,0,0,0,0,0,1.3,2.2,2.7,1.9,1.9,0,0,0,0,0,0,0,0,NaN,NaN
18001,2020-03-25,0,0,2,Adams,0,0,0,0,0,0,2.7,2.6,2.1,2.3,2,0,0,0,0,0,0,0,NaN,NaN,NaN
18001,2020-03-26,0,0,5,Adams,0,0,0,0,0,0,3.7,2.4,2,2.1,2.2,0,0,0,0,0,0,NaN,NaN,NaN,NaN
18001,2020-03-27,0,0,4,Adams,0,0,0,0,0,0,3,2.4,2,2.2,2.4,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-28,0,0,0,Adams,NaN,0,0,0,0,0,1.7,2.2,2.1,2.3,2.6,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-29,0,0,1,Adams,0,0,0,0,0,0,0.7,1.6,2.7,2.4,2.8,0,0,0,0.1,0,NaN,NaN,NaN,NaN,NaN
18001,2020-03-30,0,0,1,Adams,0,0,0,0,0,0,1.3,2,2.1,2.6,3,0,0,0,0.1,0.1,0,NaN,NaN,NaN,NaN
18001,2020-03-31,0,0,2,Adams,0,0,0,0,0.1,0,3,2.2,2,2.8,3.1,0,0,0.1,0.1,0.1,0,0,NaN,NaN,NaN
18001,2020-04-01,0,0,6,Adams,0,0,0,0,0.1,0,3,2.6,2.1,3.2,2.9,0,0.2,0.1,0.1,0.2,0,0.1,0,NaN,NaN
18001,2020-04-02,0,0,1,Adams,0,0,0,0,0.1,0,3.3,2.6,2.9,3.6,2.9,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0,NaN,NaN
18001,2020-04-03,1,0,3,Adams,0.3333333333333333,0,0,0,0.1,0,1.7,3.4,3.4,3.3,3,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0,NaN,NaN
18001,2020-04-04,0,0,1,Adams,0,0,0,0.1,0.1,0,3.3,3.2,3.7,3.1,3.4,0.3,0.2,0.1,0.3,0.2,0.1,0.1,0,NaN,NaN
18001,2020-04-05,0,0,6,Adams,0,0,0.2,0.1,0.1,0,4,3.8,3.9,3.1,3.5,0,0.2,0.1,0.3,0.2,0,0.1,0,Inf,NaN
18001,2020-04-06,0,0,5,Adams,0,0.3,0.2,0.1,0.1,0,5,4.6,4.9,3.3,3.4,0,0,0.4,0.3,0.2,0,0,0.1,Inf,NaN
18001,2020-04-07,0,1,4,Adams,0,0.3,0.2,0.1,0.1,0,5.3,6,4.6,3.9,3.4,0,0.4,0.3,0.3,0.3,0,0,0,Inf,NaN
