date,value
2020-02-26,0
2020-02-27,0
2020-02-29,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,0
2020-03-13,1
2020-03-14,0
2020-03-15,5
2020-03-16,0
2020-03-17,2
2020-03-18,8
2020-03-19,6
2020-03-20,22
2020-03-21,35
2020-03-22,27
2020-03-23,51
2020-03-24,63
2020-03-25,57
2020-03-26,143
2020-03-27,113
2020-03-28,119
2020-03-29,132
2020-03-30,145
2020-03-31,155
2020-04-01,179
2020-04-02,113
2020-04-03,146
2020-04-04,183
2020-04-05,199
2020-04-06,195
2020-04-07,146
2020-04-08,110
2020-04-09,203
2020-04-10,137
2020-04-11,151
2020-04-12,129
2020-04-13,45
2020-04-14,153
2020-04-15,105
2020-04-16,192
2020-04-17,118
2020-04-18,251
2020-04-19,145
2020-04-20,120
2020-04-21,93
2020-04-22,151
2020-04-23,130
2020-04-24,182
2020-04-25,73
2020-04-26,129
2020-04-27,149
2020-04-28,216
2020-04-29,224
2020-04-30,234
2020-05-01,229
2020-05-02,191
2020-05-03,151
2020-05-04,92
2020-05-05,305
2020-05-06,182
2020-05-07,167
2020-05-08,163
2020-05-09,95
2020-05-10,160
2020-05-11,118
2020-05-12,88
2020-05-13,94
2020-05-14,184
2020-05-15,149
2020-05-16,154
2020-05-17,105
2020-05-18,141
2020-05-19,116
2020-05-20,157
2020-05-21,114
2020-05-22,112
2020-05-23,92
2020-05-24,61
2020-05-25,81
2020-05-26,104
2020-05-27,138
2020-05-28,95
2020-05-29,116
2020-05-30,65
2020-05-31,41
2020-06-01,72
2020-06-02,66
2020-06-03,62
2020-06-04,92
2020-06-05,91
2020-06-06,49
2020-06-07,35
2020-06-08,79
2020-06-09,39
2020-06-10,30
2020-06-11,80
2020-06-12,52
2020-06-13,49
2020-06-14,47
2020-06-15,54
2020-06-16,35
2020-06-17,57
2020-06-18,47
2020-06-19,56
2020-06-20,45
2020-06-21,29
2020-06-22,53
2020-06-23,24
2020-06-24,41
2020-06-25,62
2020-06-26,79
2020-06-27,48
2020-06-28,45
2020-06-29,51
2020-06-30,58
2020-07-01,51
2020-07-02,66
2020-07-03,44
2020-07-04,82
2020-07-05,55
2020-07-06,43
2020-07-07,42
2020-07-08,48
2020-07-09,108
2020-07-10,95
2020-07-11,56
2020-07-12,40
2020-07-13,82
2020-07-14,85
2020-07-15,85
2020-07-16,124
2020-07-17,125
2020-07-18,140
2020-07-19,94
2020-07-20,147
2020-07-21,100
2020-07-22,159
