DATE,COVID_TEST,DAILY_DELTA_TESTS,DAILY_BASE_TESTS,COVID_DEATHS,DAILY_DELTA_DEATHS,DAILY_BASE_DEATHS,COVID_COUNT,DAILY_DELTA_CASES,DAILY_BASE_CASES,COVID_COUNT_CUMSUM,COVID_DEATHS_CUMSUM,COVID_TEST_CUMSUM,pos_rate,death_03da,death_05da,death_07da,death_15da,death_21da,test_03da,test_05da,test_07da,test_15da,test_21da,case_03da,case_05da,case_07da,case_15da,case_21da,pos_rate_03da,pos_rate_05da,pos_rate_07da,pos_rate_15da,pos_rate_21da,name
2020-03-03,4,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,NA,3.3,2.6,2.9,NA,NA,0,0,0.1,NA,NA,0,0,0,NA,NA,Indiana
2020-03-04,4,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,NA,NA,3.3,3.6,3.4,NA,NA,0,0.2,0.1,NA,NA,0,0,0,NA,NA,Indiana
2020-03-05,2,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,NA,4,4.2,4.6,NA,NA,0.3,0.2,0.6,NA,NA,0.1,0,0.1,NA,NA,Indiana
2020-03-06,6,0,6,0,0,0,1,0,1,1,0,21,0.2,0,0,0,0,NA,4.3,5.2,7.9,41.1,NA,0.3,0.8,0.7,1,NA,0.1,0.1,0.1,0,NA,Indiana
2020-03-07,5,0,5,0,0,0,0,0,0,1,0,26,0,0,0,0,0,NA,6.7,9.4,14.7,59.6,NA,1.3,1,1.4,1,NA,0.2,0.1,0.1,0,NA,Indiana
2020-03-08,9,0,9,0,0,0,3,0,3,4,0,35,0.3,0,0,0,0.1,NA,13,19.4,22.7,69.2,NA,1.3,2,1.6,1.7,NA,0.1,0.1,0.1,0,NA,Indiana
2020-03-09,25,0,25,0,0,0,1,0,1,5,0,60,0,0,0,0,0.1,0.2,28.7,30.2,50.7,112.6,208.9,3,2,1.7,2,3.8,0.2,0.1,0.1,0.1,0,Indiana
2020-03-10,52,0,52,0,0,0,5,0,5,10,0,112,0.1,0,0,0,0.3,0.4,45.7,68.8,85.1,161.9,291.6,2.3,2.2,2,2.6,5.9,0.1,0.1,0.1,0.1,0,Indiana
2020-03-11,60,0,60,0,0,0,1,0,1,11,0,172,0,0,0,0,0.3,0.7,103.3,116.4,124.1,219.7,324.8,2.3,2.2,2,3.7,9.5,0,0,0.1,0.1,0,Indiana
2020-03-12,198,0,198,0,0,0,1,0,1,12,0,370,0,0,0,0.1,0.3,0.9,168.3,167,143.6,291.5,373.4,1.7,2,3.1,5.3,12.2,0,0,0,0.1,0,Indiana
